Kmeans Type, data clusters, k clusters, Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard, 2, 4, 25, 500, N/A, N/A, 0.4512402310567448, 42.18281233790859, 0.782608695652174, 42.18281233790859
soft, 2, 4, 25, 500, N/A, N/A, 0.46224385825880226, 41.033722610967516, 0.782608695652174, 41.033722610967516
hard, 2, 4, 25, 500, N/A, N/A, 0.4484917472965282, 42.22413788079764, 0.2857142857142857, 42.22413788079764
soft, 2, 4, 25, 500, N/A, N/A, 0.42686397268070575, 42.37008207409529, 0.2857142857142857, 42.37008207409529
hard, 2, 5, 25, 500, N/A, N/A, 0.2744785136213382, 37.5707569350942, 0.5454545454545454, 37.5707569350942
soft, 2, 5, 25, 500, N/A, N/A, 0.2744785136213382, 37.57075693509421, 0.5454545454545454, 37.57075693509421
hard, 2, 5, 25, 500, N/A, N/A, 0.42424242424242425, 42.187450034400754, 0.0, 42.187450034400754
soft, 2, 5, 25, 500, N/A, N/A, 0.35906232132647226, 38.18503687671964, 0.0, 38.18503687671964
hard, 2, 5, 25, 500, N/A, N/A, 0.3289278796855417, 41.31163969271839, 0.4444444444444444, 41.31163969271839
soft, 2, 5, 25, 500, N/A, N/A, 0.3184147591390502, 41.506439620763864, 0.13793103448275862, 41.506439620763864
hard, 2, 5, 25, 500, N/A, N/A, 0.36285097192224625, 46.00646642726272, 0.2857142857142857, 46.00646642726272
soft, 2, 5, 25, 500, N/A, N/A, 0.3184147591390502, 45.772242132875185, 0.2857142857142857, 45.772242132875185
hard, 2, 5, 25, 500, N/A, N/A, 0.4466019417475728, 43.71188949429602, 0.0, 43.71188949429602
soft, 2, 5, 25, 500, N/A, N/A, 0.35906232132647226, 37.60515299948799, 0.0, 37.60515299948799
hard, 2, 2, 50, 500, 1.0, 0.998, 1.0, 139.46918948605244, 1.0, 139.46918948605244
soft, 2, 2, 50, 500, 1.0, 0.998, 1.0, 139.46918948605244, 1.0, 139.46918948605244
hard, 2, 2, 50, 500, 1.0, 0.998, 1.0, 134.32318135171258, 1.0, 134.32318135171258
soft, 2, 2, 50, 500, 1.0, 0.998, 1.0, 134.32318135171258, 1.0, 134.32318135171258
hard, 2, 2, 50, 500, 1.0, 0.998, 1.0, 139.05269758735574, 1.0, 139.05269758735574
soft, 2, 2, 50, 500, 1.0, 0.998, 1.0, 139.05269758735574, 1.0, 139.05269758735574
