Kmeans Type, K Clusters (Data clusters is 4), Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
soft, 4, 150, 500, 0.6122448979591837, 0.6720430107526881, 0.7436070018141604, 914.4449570173184, 0.5766423357664233, 914.4449570173184
hard, 4, 150, 500, 1.0, 1.0, 1.0, 12954.750035634013, 1.0, 12954.750035634013
soft, 4, 150, 500, 0.6666666666666666, 0.6720430107526881, 0.7115817415892435, 808.9372418373672, 0.7272727272727273, 808.9372418373672
hard, 4, 150, 500, 1.0, 1.0, 1.0, 14732.989965942574, 1.0, 14732.989965942574
soft, 4, 150, 500, 0.6666666666666666, 0.6720430107526881, 0.7094667650611658, 876.1874992567548, 0.6933380331335919, 876.1874992567548
hard, 4, 150, 500, 1.0, 1.0, 1.0, 13348.216649230215, 1.0, 13348.216649230215
soft, 4, 150, 500, 0.6818181818181818, 0.6720430107526881, 0.702038368172241, 822.7272940582187, 0.7426796805678794, 822.7272940582187
hard, 4, 150, 500, 1.0, 1.0, 1.0, 14469.74457632752, 1.0, 14469.74457632752
soft, 4, 150, 500, 0.6122448979591837, 0.6720430107526881, 0.7423969322659881, 939.4567038646, 0.5713910358871056, 939.4567038646
hard, 4, 175, 500, 1.0, 1.0, 1.0, 15413.892687466252, 1.0, 15413.892687466252
soft, 4, 175, 500, 0.6730769230769231, 0.6711409395973155, 0.717468032314592, 1006.966962456336, 0.7117170466474657, 1006.966962456336
hard, 4, 175, 500, 1.0, 1.0, 1.0, 16396.79480674006, 1.0, 16396.79480674006
soft, 4, 175, 500, 0.6730769230769231, 0.6711409395973155, 0.72012627835592, 1007.9548746130008, 0.7376157577539321, 1007.9548746130008
hard, 4, 175, 500, 1.0, 1.0, 1.0, 18275.152225253933, 1.0, 18275.152225253933
soft, 4, 175, 500, 0.660377358490566, 0.6711409395973155, 0.7242119125611772, 1079.4138351795618, 0.6978998384491114, 1079.4138351795618
hard, 4, 175, 500, 1.0, 1.0, 1.0, 16525.6223282681, 1.0, 16525.6223282681
soft, 4, 175, 500, 0.660377358490566, 0.6711409395973155, 0.724417774723096, 1052.7993712946015, 0.6997686747619578, 1052.7993712946015
hard, 4, 175, 500, 1.0, 1.0, 1.0, 16040.075969000645, 1.0, 16040.075969000645
soft, 4, 175, 500, 0.7, 0.6711409395973155, 0.7036589883712141, 1000.231400440024, 0.8019017432646592, 1000.231400440024
hard, 4, 200, 500, 1.0, 1.0, 1.0, 17016.85099893797, 1.0, 17016.85099893797
soft, 4, 200, 500, 0.7272727272727273, 0.6666666666666666, 0.7046610192195377, 1120.1137902680243, 0.8252730109204368, 1120.1137902680243
hard, 4, 200, 500, 1.0, 1.0, 1.0, 17613.12657668489, 1.0, 17613.12657668489
soft, 4, 200, 500, 0.7142857142857143, 0.6666666666666666, 0.7122918850568726, 1134.1654173034512, 0.8024316109422494, 1134.1654173034512
hard, 4, 200, 500, 1.0, 1.0, 1.0, 18864.524413872277, 1.0, 18864.524413872277
soft, 4, 200, 500, 0.6451612903225806, 0.6666666666666666, 0.7478221660028717, 1315.138836992057, 0.6509832874689577, 1315.138836992057
hard, 4, 200, 500, 1.0, 1.0, 1.0, 17268.922083487938, 1.0, 17268.922083487938
soft, 4, 200, 500, 0.6666666666666666, 0.6666666666666666, 0.735457110510483, 1233.491234528496, 0.7114562059265539, 1233.491234528496
hard, 4, 200, 500, 1.0, 1.0, 1.0, 17262.678248899734, 1.0, 17262.678248899734
soft, 4, 200, 500, 0.6779661016949152, 0.6666666666666666, 0.729757478961311, 1196.325570817048, 0.7476875206987114, 1196.325570817048
hard, 4, 225, 500, 1.0, 1.0, 1.0, 20293.56524923083, 1.0, 20293.56524923083
soft, 4, 225, 500, 0.7142857142857143, 0.6657789613848203, 0.7053921929712984, 1287.264473006733, 0.8056689698492463, 1287.264473006733
hard, 4, 225, 500, 1.0, 1.0, 1.0, 19427.609748270923, 1.0, 19427.609748270923
soft, 4, 225, 500, 0.6818181818181818, 0.6657789613848203, 0.7232974118990481, 1304.0524507533491, 0.7421704090233254, 1304.0524507533491
hard, 4, 225, 500, 1.0, 1.0, 1.0, 19600.46777421995, 1.0, 19600.46777421995
soft, 4, 225, 500, 0.6716417910447762, 0.6657789613848203, 0.7291734814980859, 1345.3563036908513, 0.7245120750426919, 1345.3563036908513
hard, 4, 225, 500, 1.0, 1.0, 1.0, 19615.603285424353, 1.0, 19615.603285424353
soft, 4, 225, 500, 0.703125, 0.6657789613848203, 0.7109773190875941, 1345.5764523602375, 0.7882888137174852, 1345.5764523602375
