dataGeneratedCentroids, kmeansClusters, standardDeviation, pointsTrain, pointsTest, pointsTotal, trainAdjustedRand, trainCalinski, testAdjustedRand, testAdjustedRandRank, testAdjustedRandRankMatchesDataCentroidCount, testCalinski, testCalinskiRank, testCalinskiRankMatchesDataCentroidCount
4, 4, 0.5, 50, 200, 250, 0.8960922575363078, 55.77959606217493, 0.8960922575363078, 1, True, 55.77959606217493, 4, False
4, 5, 0.5, 50, 200, 250, 0.7621590136879914, 55.427415888504264, 0.7621590136879914, 2, False, 55.427415888504264, 5, False
4, 6, 0.5, 50, 200, 250, 0.7105955465149337, 52.453559220814725, 0.7105955465149337, 3, False, 52.453559220814725, 7, False
4, 7, 0.5, 50, 200, 250, 0.5878582683872067, 55.99687816286364, 0.5878582683872067, 5, False, 55.99687816286364, 3, False
4, 8, 0.5, 50, 200, 250, 0.5469553438549901, 55.339388049357645, 0.5469553438549901, 8, False, 55.339388049357645, 6, False
4, 9, 0.5, 50, 200, 250, 0.5637425055222468, 56.23951426953796, 0.5637425055222468, 6, False, 56.23951426953796, 2, False
4, 10, 0.5, 50, 200, 250, 0.5521837357946482, 59.33293731370539, 0.5521837357946482, 7, False, 59.33293731370539, 1, False
4, 2, 0.5, 55, 220, 275, 0.3889492395812759, 36.71796621932324, 0.3889492395812759, 9, False, 36.71796621932324, 9, False
4, 3, 0.5, 55, 220, 275, 0.5886493620765508, 45.33372235836445, 0.5886493620765508, 3, False, 45.33372235836445, 8, False
4, 4, 0.5, 55, 220, 275, 0.8152750722106537, 58.35411851296717, 0.8152750722106537, 1, True, 58.35411851296717, 2, False
4, 5, 0.5, 55, 220, 275, 0.7442040730040166, 57.1184448859611, 0.7442040730040166, 2, False, 57.1184448859611, 3, False
4, 6, 0.5, 55, 220, 275, 0.5472426604502076, 54.160517964414105, 0.5472426604502076, 4, False, 54.160517964414105, 7, False
4, 7, 0.5, 55, 220, 275, 0.5208835653729487, 54.941907340547736, 0.5208835653729487, 5, False, 54.941907340547736, 6, False
4, 8, 0.5, 55, 220, 275, 0.4973309608540925, 55.87900377723206, 0.4973309608540925, 6, False, 55.87900377723206, 5, False
4, 9, 0.5, 55, 220, 275, 0.43466820162815556, 56.877010822930544, 0.43466820162815556, 8, False, 56.877010822930544, 4, False
4, 10, 0.5, 55, 220, 275, 0.4885844748858447, 58.762973520981156, 0.4885844748858447, 7, False, 58.762973520981156, 1, False
4, 2, 0.5, 60, 240, 300, 0.36079731657477737, 39.10289462261511, 0.36079731657477737, 9, False, 39.10289462261511, 9, False
4, 3, 0.5, 60, 240, 300, 0.5243130895553069, 48.16839231741729, 0.5243130895553069, 5, False, 48.16839231741729, 8, False
4, 4, 0.5, 60, 240, 300, 0.7853074570193017, 58.98155188012087, 0.7853074570193017, 1, True, 58.98155188012087, 2, False
4, 5, 0.5, 60, 240, 300, 0.6118747025725724, 57.55348831584341, 0.6118747025725724, 2, False, 57.55348831584341, 5, False
4, 6, 0.5, 60, 240, 300, 0.5937654338921007, 54.76968754294225, 0.5937654338921007, 3, False, 54.76968754294225, 7, False
4, 7, 0.5, 60, 240, 300, 0.43988485331046734, 56.647728644703896, 0.43988485331046734, 7, False, 56.647728644703896, 6, False
4, 8, 0.5, 60, 240, 300, 0.5557612787755354, 58.003350235851464, 0.5557612787755354, 4, False, 58.003350235851464, 4, False
4, 9, 0.5, 60, 240, 300, 0.4725806975912623, 58.353553954632865, 0.4725806975912623, 6, False, 58.353553954632865, 3, False
4, 10, 0.5, 60, 240, 300, 0.4267362243234431, 62.295032634670406, 0.4267362243234431, 8, False, 62.295032634670406, 1, False
4, 2, 0.5, 65, 260, 325, 0.3725046183183362, 44.4091028883349, 0.3725046183183362, 9, False, 44.4091028883349, 9, False
4, 3, 0.5, 65, 260, 325, 0.5209750566893424, 51.56251447874118, 0.5209750566893424, 5, False, 51.56251447874118, 8, False
4, 4, 0.5, 65, 260, 325, 0.8408216960129529, 60.961608894188586, 0.8408216960129529, 1, True, 60.961608894188586, 1, True
4, 5, 0.5, 65, 260, 325, 0.7245645415442272, 59.101404021951865, 0.7245645415442272, 2, False, 59.101404021951865, 2, False
4, 6, 0.5, 65, 260, 325, 0.6257445400397088, 55.54536070474003, 0.6257445400397088, 3, False, 55.54536070474003, 6, False
4, 7, 0.5, 65, 260, 325, 0.5899814471243042, 55.18453581108122, 0.5899814471243042, 4, False, 55.18453581108122, 7, False
4, 8, 0.5, 65, 260, 325, 0.4867260924329038, 58.01755816109078, 0.4867260924329038, 6, False, 58.01755816109078, 4, False
4, 9, 0.5, 65, 260, 325, 0.4575799721835883, 55.60642437333795, 0.4575799721835883, 7, False, 55.60642437333795, 5, False
